,SATID,satname,program,valid,area_1,area_2
46537,S48683,Starlink 2756,Starlink,1.0,0.56,25.2
46538,S48684,Starlink 2741,Starlink,1.0,0.56,25.2
46539,S48685,Starlink 2751,Starlink,1.0,0.56,25.2
46540,S48686,Starlink 2629,Starlink,1.0,0.56,25.2
46541,S48687,Starlink 2627,Starlink,1.0,0.56,25.2
46542,S48688,Starlink 2742,Starlink,1.0,0.56,25.2
46543,,,,0.0,,
46544,S48690,Starlink 2740,Starlink,1.0,0.56,25.2
46545,S48691,Starlink 2750,Starlink,1.0,0.56,25.2
46546,S48692,Starlink 2752,Starlink,1.0,0.56,25.2
46547,S48693,Starlink 2618,Starlink,1.0,0.56,25.2
46548,S48694,Starlink 2748,Starlink,1.0,0.56,25.2
46549,S48695,Starlink 2616,Starlink,1.0,0.56,25.2
46550,S48696,Starlink 2753,Starlink,1.0,0.56,25.2
46551,,,,0.0,,
46552,,,,0.0,,
46553,,,,0.0,,
46554,,,,0.0,,
46555,,,,0.0,,
46556,,,,0.0,,
46557,,,,0.0,,
46558,,,,0.0,,
46559,,,,0.0,,
46560,,,,0.0,,
46561,,,,0.0,,
46562,,,,0.0,,
46563,,,,0.0,,
46564,,,,0.0,,
46565,,,,0.0,,
46566,,,,0.0,,
46567,,,,0.0,,
46568,,,,0.0,,
46569,,,,0.0,,
46570,,,,0.0,,
46571,,,,0.0,,
46572,,,,0.0,,
46573,,,,0.0,,
46574,,,,0.0,,
46575,,,,0.0,,
46576,,,,0.0,,
46577,,,,0.0,,
46578,,,,0.0,,
46579,,,,0.0,,
46580,,,,0.0,,
46581,,,,0.0,,
46582,,,,0.0,,
46583,,,,0.0,,
46584,,,,0.0,,
46585,,,,0.0,,
46586,,,,0.0,,
46587,,,,0.0,,
46588,,,,0.0,,
46589,,,,0.0,,
46590,,,,0.0,,
46591,,,,0.0,,
46592,,,,0.0,,
46593,,,,0.0,,
46594,,,,0.0,,
46595,,,,0.0,,
46596,,,,0.0,,
46597,,,,0.0,,
46598,,,,0.0,,
46599,,,,0.0,,
46600,,,,0.0,,
46601,,,,0.0,,
46602,,,,0.0,,
46603,,,,0.0,,
46604,,,,0.0,,
46605,,,,0.0,,
46606,,,,0.0,,
46607,,,,0.0,,
46608,,,,0.0,,
46609,,,,0.0,,
46610,,,,0.0,,
46611,,,,0.0,,
46612,,,,0.0,,
46613,,,,0.0,,
46614,,,,0.0,,
46615,,,,0.0,,
46616,,,,0.0,,
46617,,,,0.0,,
46618,,,,0.0,,
46619,,,,0.0,,
46620,,,,0.0,,
46621,S48767,OneWeb SL0211,OneWeb,1.0,1.3,5.0
46622,S48768,OneWeb SL0223,OneWeb,1.0,1.3,5.0
46623,S48769,OneWeb SL0230,OneWeb,1.0,1.3,5.0
46624,S48770,OneWeb SL0237,OneWeb,1.0,1.3,5.0
46625,S48771,OneWeb SL0235,OneWeb,1.0,1.3,5.0
46626,S48772,OneWeb SL0242,OneWeb,1.0,1.3,5.0
46627,S48773,OneWeb SL0241,OneWeb,1.0,1.3,5.0
46628,S48774,OneWeb SL0243,OneWeb,1.0,1.3,5.0
46629,S48775,OneWeb SL0222,OneWeb,1.0,1.3,5.0
46630,S48776,OneWeb SL0244,OneWeb,1.0,1.3,5.0
46631,S48777,OneWeb SL0247,OneWeb,1.0,1.3,5.0
46632,S48778,OneWeb SL0245,OneWeb,1.0,1.3,5.0
46633,S48779,OneWeb SL0229,OneWeb,1.0,1.3,5.0
46634,S48780,OneWeb SL0228,OneWeb,1.0,1.3,5.0
46635,S48781,OneWeb SL0232,OneWeb,1.0,1.3,5.0
46636,S48782,OneWeb SL0231,OneWeb,1.0,1.3,5.0
46637,S48783,OneWeb SL0234,OneWeb,1.0,1.3,5.0
46638,S48784,OneWeb SL0238,OneWeb,1.0,1.3,5.0
46639,S48785,OneWeb SL0240,OneWeb,1.0,1.3,5.0
46640,S48786,OneWeb SL0246,OneWeb,1.0,1.3,5.0
46641,S48787,OneWeb SL0210,OneWeb,1.0,1.3,5.0
46642,S48788,OneWeb SL0214,OneWeb,1.0,1.3,5.0
46643,S48789,OneWeb SL0221,OneWeb,1.0,1.3,5.0
46644,S48790,OneWeb SL0213,OneWeb,1.0,1.3,5.0
46645,S48791,OneWeb SL0212,OneWeb,1.0,1.3,5.0
46646,S48792,OneWeb SL0227,OneWeb,1.0,1.3,5.0
46647,S48793,OneWeb SL0226,OneWeb,1.0,1.3,5.0
46648,S48794,OneWeb SL0224,OneWeb,1.0,1.3,5.0
46649,S48795,OneWeb SL0233,OneWeb,1.0,1.3,5.0
46650,S48796,OneWeb SL0190,OneWeb,1.0,1.3,5.0
46651,S48797,OneWeb SL0236,OneWeb,1.0,1.3,5.0
46652,S48798,OneWeb SL0248,OneWeb,1.0,1.3,5.0
46653,S48799,OneWeb SL0225,OneWeb,1.0,1.3,5.0
46654,S48800,OneWeb SL0215,OneWeb,1.0,1.3,5.0
46655,S48801,OneWeb SL0216,OneWeb,1.0,1.3,5.0
46656,S48802,OneWeb SL0239,OneWeb,1.0,1.3,5.0
46657,,,,0.0,,
46658,,,,0.0,,
46659,,,,0.0,,
46660,,,,0.0,,
46661,,,,0.0,,
46662,S48808,Feng Yun 4B,FY-4,1.0,13.86,33.0
46663,,,,0.0,,
46664,,,,0.0,,
46665,,,,0.0,,
46666,,,,0.0,,
46667,,,,0.0,,
46668,,,,0.0,,
46669,,,,0.0,,
46670,,,,0.0,,
46671,,,,0.0,,
46672,,,,0.0,,
46673,,,,0.0,,
46674,,,,0.0,,
46675,,,,0.0,,
46676,,,,0.0,,
46677,,,,0.0,,
46678,,,,0.0,,
46679,,,,0.0,,
46680,,,,0.0,,
46681,,,,0.0,,
46682,,,,0.0,,
46683,,,,0.0,,
46684,,,,0.0,,
46685,,,,0.0,,
46686,,,,0.0,,
46687,,,,0.0,,
46688,,,,0.0,,
46689,,,,0.0,,
46690,,,,0.0,,
46691,S48837,Starlink rideshare adapter,-,1.0,0.4,4.0
46692,S48838,SXM-8,Sirius XM,1.0,29.12,168.0
46693,S48839,Falcon 9-121 Stage 2,-,1.0,45.36,45.36
46694,,,,0.0,,
46695,,,,0.0,,
46696,,,,0.0,,
46697,S48843,Beijing-3,21AT,1.0,4.0,4.0
46698,,,,0.0,,
46699,,,,0.0,,
46700,S48849,Minotaur I (12) Stage 4,-,1.0,1.3,1.3
46701,,,,0.0,,
46702,,,,0.0,,
46703,,,,0.0,,
46704,,,,0.0,,
46705,,,,0.0,,
46706,,,,0.0,,
46707,,,,0.0,,
46708,,,,0.0,,
46709,,,,0.0,,
46710,S48859,GPS III SV05,GPS,1.0,6.12,25.2
46711,S48860,Yaogan 30 hao 09 zu 01 xing,CX-5,1.0,0.25,0.5
46712,S48861,Yaogan 30 hao 09 zu 02 xing,CX-5,1.0,0.25,0.5
46713,S48862,CZ-2C Y48 Stage 2,-,1.0,27.72,27.72
46714,S48863,Yaogan 30 hao 09 zu 03 xing,CX-5,1.0,0.25,0.5
46715,S48864,Tianqi Xinguou 1-13,Tianqi,1.0,0.15,0.15
46716,S48865,Kosmos-2550,Pion-NKS,1.0,21.6,22.95
46717,,,,0.0,,
46718,,,,0.0,,
46719,,,,0.0,,
46720,,,,0.0,,
46721,,,,0.0,,
46722,,,,0.0,,
46723,,,,0.0,,
46724,,,,0.0,,
46725,,,,0.0,,
46726,,,,0.0,,
46727,,,,0.0,,
46728,,,,0.0,,
46729,,,,0.0,,
46730,,,,0.0,,
46731,S48880,Starlink 3004,Starlink,1.0,0.56,25.2
46732,S48881,Starlink 3005,Starlink,1.0,0.56,25.2
