,NORAD_ID,satname,area_1,area_2,valid,program
14626,S16136,COSMOS 1685 DEB,,,,
14627,S16137,ATLAS 55E R/B,2.8,2.8,1.0,-
14628,S16138,COSMOS 1690,1.28,5.6,1.0,Strela-3
14629,S16139,COSMOS 1691,1.28,5.6,1.0,Strela-3
14630,S16140,COSMOS 1692,1.28,5.6,1.0,Strela-3
14631,S16141,COSMOS 1693,1.28,5.6,1.0,Strela-3
14632,S16142,COSMOS 1694,1.28,5.6,1.0,Strela-3
14633,S16143,COSMOS 1695,1.28,5.6,1.0,Strela-3
14634,S16144,SL-14 R/B,6.16,6.16,1.0,-
14635,S16145,COSMOS 1685 DEB,,,,
14636,S16146,COSMOS 1685 DEB,,,,
14637,S16147,SOLWIND DEB,,,,
14638,S16148,SOLWIND DEB,,,,
14639,S16149,SOLWIND DEB,,,,
14640,S16150,SOLWIND DEB,,,,
14641,S16151,SOLWIND DEB,,,,
14642,S16152,SOLWIND DEB,,,,
14643,S16153,SOLWIND DEB,,,,
14644,S16154,SOLWIND DEB,,,,
14645,S16155,SOLWIND DEB,,,,
14646,S16156,SOLWIND DEB,,,,
14647,S16157,SOLWIND DEB,,,,
14648,S16158,SOLWIND DEB,,,,
14649,S16159,COSMOS 1685 DEB,,,,
14650,S16160,COSMOS 1685 DEB,,,,
14651,S16161,COSMOS 1685 DEB,,,,
14652,S16162,COSMOS 1685 DEB,,,,
14653,S16163,SALYUT 7 DEB,,,,
14654,S16164,SALYUT 7 DEB,,,,
14655,S16165,SALYUT 7 DEB,,,,
14656,S16166,SALYUT 7 DEB,,,,
14657,S16167,SALYUT 7 DEB,,,,
14658,S16168,SALYUT 7 DEB,,,,
14659,S16169,COSMOS 1696,,,,
14660,S16170,SL-4 R/B,,,,
14661,S16171,SALYUT 7 DEB,,,,
14662,S16172,SALYUT 7 DEB,,,,
14663,S16173,SALYUT 7 DEB,,,,
14664,S16174,SALYUT 7 DEB,,,,
14665,S16175,SALYUT 7 DEB,,,,
14666,S16176,SALYUT 7 DEB,,,,
14667,S16177,FSW-0 7,,,,
14668,S16178,CZ-2C R/B,,,,
14669,S16179,CZ-2C DEB,,,,
14670,S16180,CZ-2C DEB,,,,
14671,S16181,COSMOS 1697,6.3,31.78,1.0,Tselina-2
14672,S16182,SL-16 R/B,43.29,43.29,1.0,-
14673,S16183,COSMOS 1698,8.0,10.0,1.0,Oko
14674,S16184,SL-6 R/B(1),,,,
14675,S16185,SL-6 PLAT,,,,
14676,S16186,SL-6 R/B(2),7.59,7.59,1.0,-
14677,S16187,MOLNIYA 1-65,,,,
14678,S16188,SL-6 R/B(1),,,,
14679,S16189,SL-6 PLAT,,,,
14680,S16190,SL-6 DEB,,,,
14681,S16191,METEOR 3-1,15.6,30.48,1.0,Meteor
14682,S16192,COSMOS 1677 DEB (PELPS),,,,
14683,S16193,COSMOS 1677 DEB (ANTENNA,,,,
14684,S16194,SL-14 R/B,6.16,6.16,1.0,-
14685,S16195,COSMOS 1670 DEB (ANTENNA,,,,
14686,S16196,COSMOS 1670 DEB (PELPS),,,,
14687,S16197,SL-6 R/B(2),,,,
14688,S16198,COSMOS 1699,,,,
14689,S16199,COSMOS 1700,27.06,65.6,1.0,Al'tair
14690,S16200,SL-12 R/B(1),,,,
14691,S16201,SL-12 PLAT,,,,
14692,S16202,COSMOS 1375 DEB,,,,
14693,S16203,COSMOS 1375 DEB,,,,
14694,S16204,COSMOS 1375 DEB,,,,
14695,S16205,COSMOS 1375 DEB,,,,
14696,S16206,COSMOS 1375 DEB,,,,
14697,S16207,COSMOS 1375 DEB,,,,
14698,S16208,COSMOS 1375 DEB,,,,
14699,S16209,COSMOS 1375 DEB,,,,
14700,S16210,COSMOS 1375 DEB,,,,
14701,S16211,COSMOS 1375 DEB,,,,
14702,S16212,SL-4 R/B,,,,
14703,S16213,COSMOS 1670 DEB,,,,
14704,S16214,SL-12 R/B(2),23.31,23.31,1.0,-
14705,S16215,SL-12 R/B(AUX MOTOR),,,,
14706,S16216,SL-12 R/B(AUX MOTOR),,,,
14707,S16217,SALYUT 7 DEB,,,,
14708,S16218,SALYUT 7 DEB,,,,
14709,S16219,COSMOS 1677 DEB,,,,
14710,S16220,MOLNIYA 1-66,,,,
14711,S16221,SL-6 R/B(1),,,,
14712,S16222,SL-6 PLAT,,,,
14713,S16223,SL-6 R/B(2),,,,
14714,S16224,SL-6 DEB,,,,
14715,S16225,SL-6 DEB,,,,
14716,S16226,SL-6 DEB,,,,
14717,S16227,COSMOS 1696 DEB,,,,
14718,S16228,COSMOS 1696 DEB,,,,
14719,S16229,LEASAT 3 PKM,3.5,3.5,1.0,-
14720,S16230,STS 61A,,,,
14721,S16231,GLOMR,,,,
14722,S16232,COSMOS 1696 DEB,,,,
14723,S16233,COSMOS 1696 DEB,,,,
14724,S16234,COSMOS 1696 DEB,,,,
14725,S16235,COSMOS 1701,,,,
14726,S16236,SL-6 R/B(1),,,,
14727,S16237,SL-6 PLAT,,,,
14728,S16238,SALYUT 7 DEB,,,,
14729,S16239,SALYUT 7 DEB,,,,
14730,S16240,SALYUT 7 DEB,,,,
14731,S16241,SALYUT 7 DEB,,,,
14732,S16242,SALYUT 7 DEB,,,,
14733,S16243,SL-6 R/B(2),,,,
14734,S16244,SALYUT 7 DEB,,,,
14735,S16245,SALYUT 7 DEB,,,,
14736,S16246,SALYUT 7 DEB,,,,
14737,S16247,COSMOS 1702,,,,
14738,S16248,SL-4 R/B,,,,
14739,S16249,SALYUT 7 DEB,,,,
14740,S16250,RADUGA 17,13.75,23.75,1.0,Raduga
14741,S16251,SL-12 R/B(1),,,,
14742,S16252,SL-12 PLAT,,,,
14743,S16253,SALYUT 7 DEB,,,,
14744,S16254,SL-12 R/B(AUX MOTOR),,,,
14745,S16255,SL-12 R/B(AUX MOTOR),,,,
14746,S16256,COSMOS 1662 DEB,,,,
14747,S16257,COSMOS 1662 DEB,,,,
14748,S16258,SALYUT 7 DEB,,,,
14749,S16259,SALYUT 7 DEB,,,,
14750,S16260,SALYUT 7 DEB,,,,
14751,S16261,SOYUZ-T 14 ORBIT MODULE,,,,
14752,S16262,COSMOS 1703,4.16,17.03,1.0,Tselina-D
14753,S16263,SL-14 R/B,6.16,6.16,1.0,-
14754,S16264,COSMOS 1691 DEB,,,,
14755,S16265,COSMOS 1691 DEB,,,,
14756,S16266,COSMOS 1691 DEB,,,,
14757,S16267,COSMOS 1691 DEB,,,,
14758,S16268,COSMOS 1691 DEB,,,,
14759,S16269,COSMOS 1691 DEB,,,,
14760,S16270,COSMOS 1691 DEB,,,,
14761,S16271,COSMOS 1691 DEB,,,,
14762,S16272,COSMOS 1691 DEB,,,,
14763,S16273,STS 61B,,,,
14764,S16274,MORELOS 2,14.52,14.52,1.0,Morelos
14765,S16275,OPTUS A2 (AUSSAT 2),14.52,13.86,1.0,Aussat
14766,S16276,SATCOM K2,3.15,30.0,1.0,SES
